ingredient	kind	rows	records	example_record	has_local_term	section
***Salts solution (see Medium [M1692])	CROSS_REFERENCE	1	1	CultureMech:008253	no	solutions
CM0149 Broth (OXOID)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008256	no	ingredients
Nissui Potato Dextrose Agar	UNRESOLVED_CHEMICAL	1	1	CultureMech:008284	no	ingredients
Trace element solution SL-12B*	SOLUTION_NAME	1	1	CultureMech:008356	no	solutions
Thioglycolate solution*	SOLUTION_NAME	1	1	CultureMech:008364	no	solutions
1 N NaOH solution	SOLUTION_NAME	1	1	CultureMech:008386	no	solutions
**Trace element solution SL7 (see Medium [M1835])	CROSS_REFERENCE	1	1	CultureMech:008409	no	solutions
Wolfe's mineral elixier*	UNRESOLVED_CHEMICAL	1	1	CultureMech:008410	no	solutions
Trace element solution SL8 (see below)	SOLUTION_NAME	1	1	CultureMech:008413	no	solutions
Balch's vitamin solution*	SOLUTION_NAME	1	1	CultureMech:008420	no	solutions
MJ synthetic seawater**	UNRESOLVED_CHEMICAL	1	1	CultureMech:008420	no	solutions
Balch's trace mineral solution***	SOLUTION_NAME	1	1	CultureMech:008420	no	solutions
*Trace elements solution (see Medium [M1875])	CROSS_REFERENCE	1	1	CultureMech:008451	no	solutions
Metal salt solution 44***	SOLUTION_NAME	1	1	CultureMech:008452	no	solutions
20 mM Potassium phosphate buffer (pH 7.8)	SOLUTION_NAME	1	1	CultureMech:008454	no	ingredients
*Trace elements solution (see Medium [M1879])	CROSS_REFERENCE	1	1	CultureMech:008455	no	solutions
Bromophenol blue (0.5% in 0.2N KOH)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008501	no	ingredients
Dichloran (0.2% in ethanol)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008510	no	ingredients
Fe-EDTA(III)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008512	no	ingredients
CMRL 1066 (Gibco 330--1540)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008529	no	ingredients
sterile rabbit serum	UNRESOLVED_CHEMICAL	1	1	CultureMech:008529	no	ingredients
Sodium benzoate solution (3 g/50 ml)*	SOLUTION_NAME	1	1	CultureMech:008537	no	solutions
4% Na2CO3--CO2 buffer	SOLUTION_NAME	1	1	CultureMech:008618	no	ingredients
HCl (25% or 7.7 M)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008620	no	ingredients
Selenite/tungstate solution**	SOLUTION_NAME	1	1	CultureMech:008620	no	solutions
H2SO4 Solution (0.25 N)	SOLUTION_NAME	1	1	CultureMech:008627	no	solutions
Trypto--soya agar (Nissui)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008691	no	ingredients
CYC agar (see Medium [M41])	CROSS_REFERENCE	1	1	CultureMech:008723	no	solutions
50% Glucose	UNRESOLVED_CHEMICAL	1	1	CultureMech:008734	no	ingredients
10% Cysteine	UNRESOLVED_CHEMICAL	1	1	CultureMech:008734	no	ingredients
Hemin (0.1% in 0.05 N NaOH)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008734	no	ingredients
Wolfe's modified mineral elixir (see below)	SOLUTION_NAME	1	1	CultureMech:008744	no	ingredients
Reducing solution (see below)	SOLUTION_NAME	1	1	CultureMech:008744	no	solutions
Cyanocobalamin (Vitamin B12)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008761	no	ingredients
Medium 87	UNRESOLVED_CHEMICAL	1	1	CultureMech:008767	no	ingredients
Soytone (BD 243620)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008780	no	ingredients
NaVO3 . nH2O (meta)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008780	no	ingredients
1% (w/v) Phenol red	UNRESOLVED_CHEMICAL	1	1	CultureMech:008805	no	ingredients
25% (w/v) Glucose	UNRESOLVED_CHEMICAL	1	1	CultureMech:008805	no	ingredients
Salmon sperm DNA (Sigma)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008805	no	ingredients
PPLO broth powder (Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008805	no	ingredients
IsoVitaleX solution (Becton Dickinson)	SOLUTION_NAME	1	1	CultureMech:008805	no	solutions
Basal broth	UNRESOLVED_CHEMICAL	1	1	CultureMech:008816	no	ingredients
Meticillin	UNRESOLVED_CHEMICAL	1	1	CultureMech:008816	no	ingredients
Bacto pleuropneumonia-like organisms (PPLO) broth without crystal violet	UNRESOLVED_CHEMICAL	1	1	CultureMech:008816	no	ingredients
Stock A	SOLUTION_NAME	1	1	CultureMech:008816	no	ingredients
Stock B	SOLUTION_NAME	1	1	CultureMech:008816	no	ingredients
Hanks' balanced salt solution	SOLUTION_NAME	1	1	CultureMech:008816	no	solutions
Difco Bacto Marine Broth (DIFCO 2216)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008832	no	ingredients
Medium 29	UNRESOLVED_CHEMICAL	1	1	CultureMech:008844	no	ingredients
Na-ampicillin (may be omitted for pure cultures)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008864	no	ingredients
Agar-agar (Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008864	no	ingredients
Hutners basal salts (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008864	no	ingredients
(NH4)MoO7O24 x 4H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:008864	no	ingredients
“Metals 44” (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008864	no	ingredients
Solution C: Trace element solution SL-10	SOLUTION_NAME	1	1	CultureMech:008866	no	solutions
HEPES (10mM)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008869	no	ingredients
Ni2SO4x 6 H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:008870	no	ingredients
H2SeO3(selenous acid)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008870	no	ingredients
Trace element solution SL-4 (see below)	SOLUTION_NAME	1	1	CultureMech:008878	no	solutions
Agar (Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008882	no	ingredients
*Wolfe's Mineral Solution (see below)	SOLUTION_NAME	1	1	CultureMech:008883	no	solutions
Potassium hydroxide solution	SOLUTION_NAME	1	1	CultureMech:008883	no	solutions
0.17 mM FeCl3 x 6 H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:008884	no	ingredients
Nitrilotriacetic acid (C6H9NO6)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008884	no	ingredients
Cyanocobalamine (vitamin B12)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008887	no	ingredients
Yeast cell paste (bakers yeast,washed in deion. water) wet weight	UNRESOLVED_CHEMICAL	1	1	CultureMech:008887	no	ingredients
di-Na-ß-glycerophosphate	UNRESOLVED_CHEMICAL	1	1	CultureMech:008887	no	ingredients
Sea water salts solution (see below)	SOLUTION_NAME	1	1	CultureMech:008887	no	solutions
Trace elements solution SL-4	SOLUTION_NAME	1	1	CultureMech:008887	no	solutions
leafy soil	UNRESOLVED_CHEMICAL	1	1	CultureMech:008896	no	ingredients
Yeast nitrogen base (BD-Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008916	no	ingredients
Gellan Gum (Phytagel)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008921	no	ingredients
CaCl2 x 2 H2O solution	SOLUTION_NAME	1	1	CultureMech:008921	no	solutions
cellobiose (filter-sterilized)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008924	no	ingredients
0.1M Tris/HCl buffer pH 7.5	SOLUTION_NAME	1	1	CultureMech:008932	no	ingredients
Hutner's basal salts	UNRESOLVED_CHEMICAL	1	1	CultureMech:008932	no	ingredients
Artifical sea water	UNRESOLVED_CHEMICAL	1	1	CultureMech:008932	no	ingredients
"\""Metals 44\"""	UNRESOLVED_CHEMICAL	1	1	CultureMech:008932	no	ingredients
5% Fe(III) citrate	UNRESOLVED_CHEMICAL	1	1	CultureMech:008939	no	ingredients
Soytone (Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008939	no	ingredients
Agar if required	UNRESOLVED_CHEMICAL	1	1	CultureMech:008942	no	ingredients
TRIS x HCl	UNRESOLVED_CHEMICAL	1	1	CultureMech:008947	no	ingredients
4% horse blood	UNRESOLVED_CHEMICAL	1	1	CultureMech:008948	no	ingredients
Glucose (α-, D+)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
Na-citrate	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
Proteose yeastolate (TC) (DIFCO 5577-15)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
HEPES buffer (acid) (SIGMA H3375)	SOLUTION_NAME	1	1	CultureMech:008950	no	solutions.composition
CMRL 1066/10 x Glutamin (GIBCO 042-1545)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
Solution C	SOLUTION_NAME	1	1	CultureMech:008950	no	solutions
bovine serum albumine, fract. V (important: Sigma No A9647)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
Solution D	SOLUTION_NAME	1	1	CultureMech:008950	no	solutions
Rabbit serum, inactivated(GIBCO 037-06120M)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008950	no	solutions.composition
N-Z-Amine	UNRESOLVED_CHEMICAL	1	1	CultureMech:008955	no	ingredients
Na2CO3 (sterilized as a separate solution)	SOLUTION_NAME	1	1	CultureMech:008962	no	solutions
Todd Hewitt Broth (BD-Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008964	no	ingredients
Distilled water (for liquid medium)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008973	no	ingredients
Distilled water (for solid medium)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008974	no	ingredients
Leptospira Medium Base EMJH (Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:008992	no	ingredients
Nutrient Broth (BD cat 234000)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009000	no	ingredients
Heart Infusion Agar (BD 211065)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009008	no	ingredients
MgCl2 x 6 H2O (200.0 g/l)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009037	no	ingredients
KSCN solution (2 M -194 g/l)	SOLUTION_NAME	1	1	CultureMech:009037	no	solutions
Agar Noble (if required)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009044	no	ingredients
Yeast Extract #3 (ATCC 9678, see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009044	no	ingredients
Yeast (Store bought Fleischmann’s yeast)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009044	no	ingredients
benzene solution	SOLUTION_NAME	1	1	CultureMech:009050	no	solutions
Broth Medium Marine Broth 2216 (BD 279110)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009055	no	ingredients
sterile defibrinated sheep blood	UNRESOLVED_CHEMICAL	1	1	CultureMech:009063	no	ingredients
Man-Rogosa-Sharpe (MRS) broth (Biokar Diagnostic, Beauvais, France)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009069	no	ingredients
Bacto-yeast	UNRESOLVED_CHEMICAL	1	1	CultureMech:009070	no	ingredients
CuSO2・5H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009072	no	ingredients
Crotonic acid (ALDRICH 113018)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009097	no	ingredients
Na-crotonate solution	SOLUTION_NAME	1	1	CultureMech:009097	no	solutions
Ca(NO3)2 x 5 H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009101	no	ingredients
Mineral base A	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
Mineral base B	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
Mineral base C	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
Mineral base D	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
PIPES (10 mM)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
NaII CO3	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
Na2WO4 (10 mM)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
FeCl3 (25mM)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
NH4Cl (14% w/v)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
KH2PO4 (7% w/v)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009135	no	ingredients
Trace Metals	UNRESOLVED_CHEMICAL	1	1	CultureMech:009137	no	ingredients
erythromycin solution	SOLUTION_NAME	1	1	CultureMech:009138	no	solutions
Resazurin (0.1% w/v in water)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009146	no	ingredients
L-Cysteine x HCl	UNRESOLVED_CHEMICAL	1	1	CultureMech:009146	no	ingredients
NaHCO3 (7.5% w/v in water)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009146	no	ingredients
Thiamine pyrophosphate (0.2% w/v in water)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009146	no	ingredients
TPP/VFA Solution	SOLUTION_NAME	1	1	CultureMech:009146	no	solutions
Blood	UNRESOLVED_CHEMICAL	1	1	CultureMech:009149	no	ingredients
Medium 535	UNRESOLVED_CHEMICAL	1	1	CultureMech:009149	no	ingredients
8 N NaOH	UNRESOLVED_CHEMICAL	1	1	CultureMech:009153	no	ingredients
Wilkins-Chalgren medium (Oxoid CM0643)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009154	no	ingredients
Growth-stimulating factors	UNRESOLVED_CHEMICAL	1	1	CultureMech:009155	no	ingredients
Glucose (sterilized separately)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009158	no	ingredients
Synthetic seawater (2 x conc.)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009161	no	ingredients
MJ(-N) synthetic seawater (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009177	no	ingredients
SULFOLOBUS MEDIUM (see Medium [M156])	CROSS_REFERENCE	1	1	CultureMech:009187	no	solutions
Fe(NH4)2(SO4)2 x 7 H2O (0.1% w/v)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009190	no	ingredients
Castenholz basal salt solution (see below)	SOLUTION_NAME	1	1	CultureMech:009225	no	solutions
FeCl3・6H2O solution (0.03%)	SOLUTION_NAME	1	1	CultureMech:009225	no	solutions
Nitsch's trace elements (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009225	no	solutions
Titanium (III) citrate, neutralized	UNRESOLVED_CHEMICAL	1	1	CultureMech:009244	no	ingredients
TiCl2	UNRESOLVED_CHEMICAL	1	1	CultureMech:009244	no	ingredients
Meat filtrate	UNRESOLVED_CHEMICAL	1	1	CultureMech:009268	no	ingredients
Trimethylamine . HCl	UNRESOLVED_CHEMICAL	1	1	CultureMech:009271	no	ingredients
Na3EDTA	UNRESOLVED_CHEMICAL	1	1	CultureMech:009285	no	ingredients
Vitamin solution of medium 141	SOLUTION_NAME	1	1	CultureMech:009296	no	solutions
Vitamin solution of medium 503	SOLUTION_NAME	1	1	CultureMech:009296	no	solutions
5% Na2CO3	UNRESOLVED_CHEMICAL	1	1	CultureMech:009299	no	ingredients
Potassium phosphate buffer (1 M, pH 7.1)	SOLUTION_NAME	1	1	CultureMech:009303	no	ingredients
CaSO4 (saturated aq. solution)	SOLUTION_NAME	1	1	CultureMech:009303	no	solutions
Casamino acids (BD Bacto)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009306	no	ingredients
Columbia Agar Plates with 5% sheep blood (BBL 4354005)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009320	no	ingredients
Destilled water	UNRESOLVED_CHEMICAL	1	1	CultureMech:009323	no	ingredients
PIPES buffer (Sigma)	SOLUTION_NAME	1	1	CultureMech:009329	no	ingredients
Na2S-9H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009329	no	ingredients
10 mM Na2WO4 solution	SOLUTION_NAME	1	1	CultureMech:009329	no	solutions
25 mM FeCl3 solution	SOLUTION_NAME	1	1	CultureMech:009329	no	solutions
14% (wt/vol) NH4Cl solution	SOLUTION_NAME	1	1	CultureMech:009329	no	solutions
7% (wt/vol) KH2PO4 solution	SOLUTION_NAME	1	1	CultureMech:009329	no	solutions
20% Glucose	UNRESOLVED_CHEMICAL	1	1	CultureMech:009332	no	ingredients
TPGY broth	UNRESOLVED_CHEMICAL	1	1	CultureMech:009355	no	ingredients
NH4CI	UNRESOLVED_CHEMICAL	1	1	CultureMech:009371	no	ingredients
FeSO4·4H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009372	no	ingredients
AKI(SO4)2	UNRESOLVED_CHEMICAL	1	1	CultureMech:009381	no	ingredients
sterile defibrinated horse serum	UNRESOLVED_CHEMICAL	1	1	CultureMech:009392	no	ingredients
Maltose--hemin solution	SOLUTION_NAME	1	1	CultureMech:009403	no	solutions
cellobiose solution	SOLUTION_NAME	1	1	CultureMech:009436	no	solutions
Vitamins mix solution (see below)	SOLUTION_NAME	1	1	CultureMech:009446	no	solutions
Growth stimulating factors (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009492	no	ingredients
*Trace element solution (SL-10) (see Medium [M2073])	CROSS_REFERENCE	1	1	CultureMech:009511	no	solutions
**Se/W solution (see Medium [M2073])	CROSS_REFERENCE	1	1	CultureMech:009511	no	solutions
0.1% Na2SeO4 solution	SOLUTION_NAME	1	1	CultureMech:009520	no	solutions
NB Mineral elixir solution (see below)	SOLUTION_NAME	1	1	CultureMech:009520	no	solutions
5% Na2CO3 solution*	SOLUTION_NAME	1	1	CultureMech:009520	no	solutions
Corn meal agar (Nissui)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009521	no	ingredients
2.5% N-Acetyl-D-glucosamine solution	SOLUTION_NAME	1	1	CultureMech:009525	no	solutions
Selenite tungstate solution (see below)	SOLUTION_NAME	1	1	CultureMech:009531	no	solutions
Na2S·9H2O solution (see Medium [M3029])	CROSS_REFERENCE	1	1	CultureMech:009542	no	solutions
Fe(III) citrate solution (0.1 g in 100 ml)	SOLUTION_NAME	1	1	CultureMech:009544	no	solutions
sulfidic ore	UNRESOLVED_CHEMICAL	1	1	CultureMech:009547	no	ingredients
Gellan Gum (if needed)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009575	no	ingredients
Distilled water 100.00 ml	UNRESOLVED_CHEMICAL	1	1	CultureMech:009590	no	ingredients
Na2S x 9 H2O 3.00 g	UNRESOLVED_CHEMICAL	1	1	CultureMech:009590	no	ingredients
Trace metal mix A5 + Co*	UNRESOLVED_CHEMICAL	1	1	CultureMech:009592	no	solutions
Na2WO2.2H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009593	no	ingredients
Ttrace element solution	SOLUTION_NAME	1	1	CultureMech:009593	no	solutions
KI (0.01% w/v)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009594	no	ingredients
H2O (deionized)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009595	no	ingredients
Trace element sol. SL-6	UNRESOLVED_CHEMICAL	1	1	CultureMech:009596	no	solutions
Elemental sulfer	UNRESOLVED_CHEMICAL	1	1	CultureMech:009597	no	ingredients
MJ synthetic seawater	UNRESOLVED_CHEMICAL	1	1	CultureMech:009597	no	ingredients
Sea Salt (SIGMA)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009598	no	ingredients
MOPS buffer (SIGMA)	SOLUTION_NAME	1	1	CultureMech:009603	no	ingredients
FeCl3 Solution	SOLUTION_NAME	1	1	CultureMech:009610	no	solutions
4 N KOH	UNRESOLVED_CHEMICAL	1	1	CultureMech:009624	no	ingredients
0.1 M H2SO4	UNRESOLVED_CHEMICAL	1	1	CultureMech:009679	no	ingredients
Cysteine hydrochloride hydrate	UNRESOLVED_CHEMICAL	1	1	CultureMech:009686	no	ingredients
Vitamin solution (medium 141; DSMZ)	SOLUTION_NAME	1	1	CultureMech:009686	no	solutions
Trace element solution (medium 141; DSMZ)	SOLUTION_NAME	1	1	CultureMech:009686	no	solutions
5% Sodium thiosulfate solution	SOLUTION_NAME	1	1	CultureMech:009690	no	solutions
0.1 M Dithiothreitol solutuion*	UNRESOLVED_CHEMICAL	1	1	CultureMech:009690	no	solutions
Syringate solution (see below)	SOLUTION_NAME	1	1	CultureMech:009690	no	solutions
2.5% Sodium dithionite solution	SOLUTION_NAME	1	1	CultureMech:009690	no	solutions
2N NaOH solution	SOLUTION_NAME	1	1	CultureMech:009690	no	solutions
Pectin (from citrus)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009697	no	ingredients
Sal Solution*	SOLUTION_NAME	1	1	CultureMech:009703	no	solutions
SL--4 trace element solution (see below)	SOLUTION_NAME	1	1	CultureMech:009713	no	solutions
Yeast cell paste (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009714	no	ingredients
Horikoshi--I medium (see Medium [M174])	CROSS_REFERENCE	1	1	CultureMech:009719	no	solutions
Trace element solution SLA (see below)	SOLUTION_NAME	1	1	CultureMech:009732	no	solutions
Vitamin solution VA (see below)	SOLUTION_NAME	1	1	CultureMech:009732	no	solutions
Fe(SO4)3・xH2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009734	no	ingredients
0.1% (w/v) resazurin-Na	UNRESOLVED_CHEMICAL	1	1	CultureMech:009737	no	ingredients
plant residue extract (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009738	no	ingredients
rice straw	UNRESOLVED_CHEMICAL	1	1	CultureMech:009738	no	ingredients
MJ BASAL MEDIUM (see Medium [M350])	CROSS_REFERENCE	1	1	CultureMech:009748	no	solutions
Sol.1	UNRESOLVED_CHEMICAL	1	1	CultureMech:009754	no	ingredients
crotonic acid solution	SOLUTION_NAME	1	1	CultureMech:009754	no	solutions
cysteine・HCl solution	SOLUTION_NAME	1	1	CultureMech:009754	no	solutions
Soil extract (See below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009760	no	ingredients
sodium nicotinate	UNRESOLVED_CHEMICAL	1	1	CultureMech:009770	no	ingredients
Oatmeal agar (ISP-3) (see Medium [M42])	CROSS_REFERENCE	1	1	CultureMech:009776	no	solutions
Fe(III) quinate solution (see below)	SOLUTION_NAME	1	1	CultureMech:009777	no	solutions
5 mM Quinic acid	UNRESOLVED_CHEMICAL	1	1	CultureMech:009779	no	ingredients
Sodium phosphate buffer (25 mM, pH 3.4)	SOLUTION_NAME	1	1	CultureMech:009785	no	ingredients
Thiamine solution (see below)	SOLUTION_NAME	1	1	CultureMech:009785	no	solutions
Vitamin B12 solution (see below)	SOLUTION_NAME	1	1	CultureMech:009785	no	solutions
HNW MEDIUM (see Medium [M339])	CROSS_REFERENCE	1	1	CultureMech:009787	no	solutions
Sol. 3	UNRESOLVED_CHEMICAL	1	1	CultureMech:009797	no	ingredients
Czapek--Dox liquid medium, modified (Oxoid)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009805	no	ingredients
Trace element (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009818	no	solutions
HCl (25%, 7.7 M)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009819	no	ingredients
Trace element solution SL-10 (see below)	SOLUTION_NAME	1	1	CultureMech:009819	no	solutions
N--Z Amine, type A (Sheffield)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009822	no	ingredients
Mg(NO3)·6H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009835	no	ingredients
Oatmeal, powdered (Quaker White Oats)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009836	no	ingredients
84 g/L NaHCO3 solution (autoclaved under CO2 atmosphere)	SOLUTION_NAME	1	1	CultureMech:009838	no	solutions
7 Vitamins solution (see Medium [M562])	CROSS_REFERENCE	1	1	CultureMech:009838	no	solutions
Reinforced clostridial agar (Sigma)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009842	no	ingredients
Bacto agar (BD-Difco) (for solid medium)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009848	no	ingredients
Riboflavin (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009851	no	ingredients
sodium acetate solution	SOLUTION_NAME	1	1	CultureMech:009852	no	solutions
ferric citrate solution	SOLUTION_NAME	1	1	CultureMech:009852	no	solutions
L--cysteine・HCl solution	SOLUTION_NAME	1	1	CultureMech:009852	no	solutions
CHOPPED MEAT MEDIUM (see Medium [M461])	CROSS_REFERENCE	1	1	CultureMech:009854	no	solutions
TRYPTICASE SOY BLOOD AGAR (see Medium [M147])	CROSS_REFERENCE	1	1	CultureMech:009859	no	solutions
Wolfe's mineral elixir (see below)	SOLUTION_NAME	1	1	CultureMech:009860	no	ingredients
1 M Mannitol solution*	SOLUTION_NAME	1	1	CultureMech:009868	no	solutions
Microelement solution (see below)	SOLUTION_NAME	1	1	CultureMech:009871	no	solutions
Trace element solution (see Medium No. [480])	CROSS_REFERENCE	1	1	CultureMech:009879	no	solutions
Modified MJ synthetic seawater (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009881	no	ingredients
Trace element solution SL-12 (see below)	SOLUTION_NAME	1	1	CultureMech:009885	no	solutions
Vitamin B12 (2 mg/100 ml)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009886	no	ingredients
Na2S・9H2O (final concentration)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009886	no	ingredients
Mueller Hinton II agar (BD-BBL)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009896	no	ingredients
Lactobacillus MRS broth (BD-Difco)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009901	no	ingredients
methane--air (50:50)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009902	no	ingredients
20 x Phosphate solution (see below)	SOLUTION_NAME	1	1	CultureMech:009902	no	solutions
1.0 M Sodium propionate solution*	SOLUTION_NAME	1	1	CultureMech:009903	no	solutions
DL vitamins (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009904	no	ingredients
DL minerals (see below)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009904	no	ingredients
Galactose stock solution (filter--sterilized)	SOLUTION_NAME	1	1	CultureMech:009904	no	solutions
Vitamin B12 (20 μg/ml) (filter--sterilized)	UNRESOLVED_CHEMICAL	1	1	CultureMech:009907	no	ingredients
Ferric citrate solution (0.1%)	SOLUTION_NAME	1	1	CultureMech:009908	no	solutions
Rhodobium gokurnum medium (see Medium [M517])	CROSS_REFERENCE	1	1	CultureMech:009909	no	solutions
CaCl・2H2O	UNRESOLVED_CHEMICAL	1	1	CultureMech:009912	no	ingredients
Mineral medium	UNRESOLVED_CHEMICAL	1	1	CultureMech:009914	no	ingredients
8.5% NaHCO3*	UNRESOLVED_CHEMICAL	1	1	CultureMech:009914	no	solutions
1% yeast extract solution	SOLUTION_NAME	1	1	CultureMech:009914	no	solutions
2% Sodium pyruvate solution*	SOLUTION_NAME	1	1	CultureMech:009914	no	solutions
Reducing agent solution (see below)	SOLUTION_NAME	1	1	CultureMech:009914	no	solutions
Trace mineral solution (see Medium [M524])	CROSS_REFERENCE	1	1	CultureMech:009917	no	solutions
MnCl2 solution (see below)	SOLUTION_NAME	1	1	CultureMech:009925	no	solutions
CaCl2・2H2O solution (68 mM)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
Pyruvate solution (1 M)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
Resazurin solution (0.02%)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
K2HPO4 solution (609 mM)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
Dithionite solution (0.2 M)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
Basal salt solution (see below)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
SL--7 trace element solution (see below)	SOLUTION_NAME	1	1	CultureMech:009930	no	solutions
